method,idx,raw_output,set_f1,ordered_precision,kendall_tau,transition_acc,first_tool_acc,pred_len,gt_len
llm_few_shot,31,Geocoding -> GetWeatherForCoordinates,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,32,Geocoding -> GetWeatherForCoordinates,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,32,Geocoding -> GetWeatherForCoordinates,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,33,Geocoding -> GetWeatherForCoordinates,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,33,Geocoding -> GetWeatherForCoordinates,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,34,Geocoding -> GetWeatherForCoordinates,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,34,Geocoding -> GetWeatherForCoordinates,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,35,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,35,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,36,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,36,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,37,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,37,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,38,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,38,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,39,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,39,FlightSearch -> HotelAvailability,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,40,AccountInfo -> TaxCalculator,0.5,0.0,0.0,0.0,0.0,2,2
llm_few_shot,40,GetOccupationSalary -> TaxCalculator,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,41,AccountInfo -> TaxCalculator,0.5,0.0,0.0,0.0,0.0,2,2
llm_few_shot,41,GetOccupationSalary -> TaxCalculator,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,42,Calculator -> GetOccupationSalary -> TaxCalculator,0.5,0.0,0.0,0.0,0.0,2,2
llm_few_shot,42,TaxCalculator -> GetOccupationSalary,1.0,0.0,-1.0,0.0,0.0,2,2
llm_zero_shot,43,AccountInfo -> TaxCalculator,0.5,0.0,0.0,0.0,0.0,2,2
llm_few_shot,43,GetOccupationSalary -> TaxCalculator,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,44,AccountInfo -> TaxCalculator,0.5,0.0,0.0,0.0,0.0,2,2
llm_few_shot,44,TaxCalculator -> GetOccupationSalary,1.0,0.0,-1.0,0.0,0.0,2,2
llm_zero_shot,45,AccountInfo -> PersonalInfoUpdate,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,45,AccountInfo -> PersonalInfoUpdate,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,46,AccountInfo -> PersonalInfoUpdate,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,46,AccountInfo -> PersonalInfoUpdate,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,47,AccountInfo -> PersonalInfoUpdate,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,47,AccountInfo -> PersonalInfoUpdate,1.0,1.0,1.0,1.0,1.0,2,2
llm_zero_shot,48,AccountInfo -> PersonalInfoUpdate,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,48,PersonalInfoUpdate -> AccountInfo,1.0,0.0,-1.0,0.0,0.0,2,2
llm_zero_shot,49,AccountInfo -> PersonalInfoUpdate,1.0,1.0,1.0,1.0,1.0,2,2
llm_few_shot,49,AccountInfo -> PersonalInfoUpdate,1.0,1.0,1.0,1.0,1.0,2,2
